Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Thoughtblab,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),John Smith,04/20/24,SAAS,Churned Customer,7,,,833,90,08/07/24,06/27/24
Jaxnation,Spain,40.416775,-3.70379,Energy & Utilities,Small (11-200),Emily Johnson,05/28/24,SAAS,Churned Customer,7,,,1623,30,10/25/24,09/11/24
Mybuzz,Italy,41.902782,12.496366,Education & Science,Small (11-200),Michael Brown,03/17/24,SAAS,Churned Customer,7,,,1928,20,03/17/25,05/11/24
Kare,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,01/18/24,SAAS,Churned Customer,7,,,303,50,08/07/24,05/06/24
Skaboo,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Michael Brown,04/06/24,SAAS,Churned Customer,7,,,1911,30,10/11/24,07/25/24
Flashset,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,02/21/24,Custom solution,Churned Customer,7,,,455,20,09/23/24,05/11/24
Yozio,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,02/13/24,SAAS,Churned Customer,7,,,351,30,03/18/24,04/17/24
Tanoodle,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Jessica Martinez,01/15/24,Custom solution,Churned Customer,7,,,230,70,05/17/24,05/11/24
"Reilly, Wisozk and Stamm",France,48.864716,2.349014,Retail & Distribution,Small (11-200),Michael Brown,03/09/24,SAAS,Churned Customer,7,,,1697,80,07/25/24,06/30/24
O'Conner-Sawayn,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,04/01/24,Services,Churned Customer,7,,,320,60,05/24/24,07/01/24
Klocko-Sporer,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Emily Johnson,02/12/24,Custom solution,Churned Customer,7,,,721,20,01/10/25,03/31/24
Borer Inc,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,02/29/24,Services,Churned Customer,7,,,768,80,08/18/24,06/15/24
"Jacobson, Crist and O'Kon",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,04/11/24,SAAS,Churned Customer,7,,,741,40,09/19/24,05/13/24
Hickle Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,01/23/24,SAAS,Churned Customer,7,,,668,70,10/24/24,04/19/24
"Zulauf, Osinski and Lakin",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,03/10/24,Custom solution,Churned Customer,7,,,406,30,05/24/24,05/06/24
"Cruickshank, Lubowitz and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,04/12/24,Services,Churned Customer,7,,,1686,40,05/06/24,04/25/24
Roberts-Glover,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,03/15/24,Services,Churned Customer,7,,,317,40,09/15/24,07/13/24
Bauch Group,Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Sarah Davis,01/17/24,SAAS,Churned Customer,7,,,1813,40,03/28/24,01/24/24
"Reynolds, Kunze and Christiansen",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),David Wilson,01/24/24,Services,Churned Customer,7,,,1515,40,10/22/24,02/03/24
"Skiles, Koepp and Walter",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,04/19/24,SAAS,Churned Customer,7,,,1569,50,11/05/24,05/21/24
Hermiston and Sons,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Sarah Davis,05/06/24,Custom solution,Churned Customer,7,,,405,40,04/09/25,06/07/24
Roberts-Stracke,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Laura Thompson,05/30/24,SAAS,Churned Customer,7,,,1456,60,08/03/24,06/06/24
"Frami, Gerlach and Sporer",France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),David Wilson,05/07/24,Services,Churned Customer,7,,,217,90,08/04/24,08/22/24
Schumm-Block,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,02/28/24,Services,Churned Customer,7,,,426,40,12/17/24,04/10/24
"Beahan, Nitzsche and Williamson",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,04/25/24,SAAS,Churned Customer,7,,,1846,60,04/19/25,07/31/24
"Bergstrom, Kling and Mayer",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Michael Brown,04/19/24,SAAS,Churned Customer,7,,,1515,40,01/25/25,07/12/24
"Stroman, Ritchie and Toy",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Sarah Davis,02/21/24,Services,Churned Customer,7,,,1007,20,10/06/24,04/01/24
"Williamson, Smitham and Muller",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Kevin Anderson,05/03/24,Services,Churned Customer,7,,,1895,80,02/20/25,05/14/24
Kub-Brown,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Jessica Martinez,03/27/24,Services,Churned Customer,7,,,748,50,08/30/24,07/16/24
Medhurst Group,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,01/05/24,SAAS,Churned Customer,7,,,726,10,06/13/24,03/20/24
Murray-Lehner,Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,02/12/24,SAAS,Churned Customer,7,,,634,60,03/30/24,02/27/24
"McLaughlin, Effertz and Swift",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,02/19/24,Custom solution,Churned Customer,7,,,586,60,11/01/24,06/13/24
Shields LLC,Italy,41.902782,12.496366,Telecommunications,Small (11-200),Sarah Davis,05/13/24,Services,Churned Customer,7,,,1936,20,12/17/24,08/22/24
Koch Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,03/21/24,Custom solution,Churned Customer,7,,,1620,40,08/24/24,05/13/24
Langosh Group,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Kevin Anderson,02/04/24,SAAS,Churned Customer,7,,,287,10,12/05/24,02/14/24
"Wiegand, Friesen and Ortiz",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Jessica Martinez,05/15/24,Custom solution,Churned Customer,7,,,1828,50,10/07/24,08/29/24
Ward-Schinner,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Laura Thompson,02/15/24,SAAS,Churned Customer,7,,,453,40,12/03/24,04/26/24
"Kub, Hintz and Simonis",France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,03/30/24,Services,Churned Customer,7,,,835,70,08/14/24,05/23/24
Greenfelder-Klocko,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,02/27/24,SAAS,Churned Customer,7,,,1924,30,03/19/24,06/18/24
"Rice, Walker and Hermiston",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,01/17/24,SAAS,Churned Customer,7,,,1020,20,05/31/24,03/26/24
"Frami, Brekke and Crooks",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),David Wilson,04/30/24,SAAS,Churned Customer,7,,,543,30,06/21/24,07/12/24
"Cassin, Windler and Friesen",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,03/28/24,SAAS,Churned Customer,7,,,1984,20,12/31/24,05/29/24
"Greenfelder, O'Reilly and Dietrich",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Emily Johnson,01/19/24,SAAS,Churned Customer,7,,,349,50,04/22/24,02/07/24
"Kris, Brekke and Gulgowski",Switzerland,46.204391,6.143158,Telecommunications,Small (11-200),Michael Brown,01/07/24,SAAS,Churned Customer,7,,,1790,90,12/14/24,02/13/24
Adams and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,02/13/24,SAAS,Churned Customer,7,,,1606,40,11/01/24,05/09/24
"Kunze, O'Reilly and Von",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),Laura Thompson,04/08/24,SAAS,Churned Customer,7,,,716,40,03/11/25,07/13/24
Rempel and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),David Wilson,01/25/24,SAAS,Churned Customer,7,,,1883,20,10/13/24,04/17/24
Smitham-Sipes,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,01/06/24,Services,Churned Customer,7,,,233,10,11/12/24,02/10/24
Krajcik-Tromp,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Laura Thompson,05/06/24,SAAS,Churned Customer,7,,,854,60,12/28/24,08/10/24
"Gusikowski, Erdman and Ryan",Italy,41.902782,12.496366,Education & Science,Small (11-200),Jessica Martinez,05/21/24,Services,Churned Customer,7,,,1249,80,03/17/25,06/29/24
"Renner, Bashirian and Lind",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,03/21/24,SAAS,Churned Customer,7,,,1125,30,04/12/24,06/02/24
"Spencer, Jerde and Green",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,05/27/24,SAAS,Churned Customer,7,,,1411,40,03/23/25,08/29/24
Maggio-Reynolds,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Kevin Anderson,02/03/24,SAAS,Churned Customer,7,,,1503,30,01/03/25,04/19/24
